name,base-drink,topping,fruit,type,country,item,price
Alittle,milk; oolong tea,,,milk tea,China,oolong milk tea,1.8
Alittle,black tea,cheese foam,,cheese tea,China,tea macchiato,2.11
Alittle,oolong tea,cheese foam,,cheese tea,China,oolong tea macchiato,2.11
Alittle,cocoa,,,cocoa,China,ovaltine,2.34
Alittle,milk; matcha,,,matcha,China,matcha milk tea,2.34
Alittle,milk; cocoa,,,cocoa,China,chocolate milk tea,2.5
Alittle,milk; black tea,caramel,,milk tea,China,caramel milk tea,1.95
Alittle,lemonade,,,lemonade,China,lemonade,2.27
Alittle,lemonade,,kumquat,lemonade,China,kumquat lemonade,2.27
Alittle,lemonade,honey,,lemonade,China,honey lemonade,2.5
Alittle,lemonade; yakult,,,lemonade,China,yakult lemonade,2.81
Alittle,water,honey,,water,China,honey water,2.27
Alittle,milk; black tea,,,milk tea,China,tea latte,2.5
Alittle,milk; oolong tea,,,milk tea,China,oolong tea latte,2.5
Alittle,milk,,,cocoa,China,ovaltine latte,2.81
Alittle,black tea; cocoa,,,tea,China,cocoa tea,3.05
Alittle,milk; matcha,,,matcha,China,matcha latte,3.05
HappyLemon,lemonade,,,lemonade,China,special lemonade crushed ice,1.48
HappyLemon,lemonade; black tea,,,tea,China,freshly squeezed lemon black/green tea,1.64
HappyLemon,lemonade; green tea,,,tea,China,freshly squeezed lemon black/green tea,1.64
HappyLemon,lemonade,white pearl,pineapple,fruit tea,China,pineapple lemonade with jelly,2.19
HappyLemon,lemonade; green tea,,lemon; kumquat,fruit tea,China,lemon kumquat green tea,2.27
HappyLemon,lemonade; green tea,,lemon; grapefruit,fruit tea,China,grapefruit & lemon green tea,2.34
HappyLemon,lemonade,,lemon,water,China,5100 Tibet spring mineral water with lemon,2.97
HappyLemon,lemonade,,grapefruit,water,China,5100 Tibet spring mineral water with grapefruit,3.13
HappyLemon,lemonade,,strawberry,lemonade,China,special lemonade with strawberry,2.58
HappyLemon,milk; black tea,trifle,strawberry,milk tea,China,milk tea strawberry trifle with jelly balls,3.12
HappyLemon,milk; black tea,,,milk tea,China,milk tea,1.8
HappyLemon,milk; black tea,boba,,milk tea,China,boba milk tea,1.95
HappyLemon,milk; black tea,red bean; pudding,,milk tea,China,milk tea with red bean & pudding,2.11
HappyLemon,milk; black tea,taro ball,,milk tea,China,milk tea with taro balls,2.27
HappyLemon,milk; black tea,boba; white pearl,,milk tea,China,boba milk tea with jelly balls,2.34
HappyLemon,milk; black tea,pudding; boba; white pearl,,milk tea,China,milk tea with pudding; boba & jelly,2.34
HappyLemon,oolong tea,,,tea,China,oolong tea,1.48
HappyLemon,lemonade; oolong tea,,,tea,China,freshly squeezed lemon oolong tea,1.95
HappyLemon,lemonade; oolong tea,,water chestnut,tea,China,lemon & water chestnut oolong tea,2.34
HappyLemon,lemonade; oolong tea,,mango; orange; passion fruit,tea,China,mango & orange tea with passion fruit,2.34
HappyLemon,green tea,cheese foam,,cheese tea,China,green tea with salted cheese,2.27
HappyLemon,black tea,cheese foam,,cheese tea,China,black tea with salted cheese,2.27
HappyLemon,milk; black tea,cheese foam,,cheese tea,China,milk tea with salted cheese,2.42
HappyLemon,cocoa,cheese foam,,cocoa,China,chocolate with salted cheese,2.58
HappyLemon,milk; black tea,oreo; cream,,milk tea,China,milk tea with oreo & puff cream,2.11
HappyLemon,milk; black tea,boba; cream,,milk tea,China,boba milk tea with puff cream,2.27
HappyLemon,milk; black tea,boba; taro ball,,milk tea,China,taro milk tea with boba & taro balls,2.27
HappyLemon,milk; black tea,oreo; trifle; boba; taro ball,,milk tea,China,milk tea oreo trifle with boba & taro balls,2.89
HappyLemon,milk; black tea,boba; oreo; trifle,,milk tea,China,boba milk with oreo trifle,2.66
HappyLemon,green tea; yakult,,,tea,China,yakult green tea,2.58
HappyLemon,green tea; yakult; lemonade,,,tea,China,yakult lemon green tea,2.73
HappyLemon,jasmine tea,,,tea,China,jasmine greentea,1.33
HappyLemon,black tea,,,tea,China,black tea,1.33
ShinyTea,black tea,,,tea,US,Sri Lanka Black Tea (Iced or Hot),3.75
ShinyTea,jasmine tea,,,tea,US,Jasmine Green Tea (Iced or Hot),3.75
ShinyTea,green tea,,,tea,US,Premium Green Tea (Iced or Hot),4.0
ShinyTea,oolong tea,,,tea,US,Ice Peak Oolong Tea (Iced or Hot),4.0
ShinyTea,green tea,,,tea,US,Tie Guan Yin Tea (Iced or Hot),4.0
ShinyTea,green tea,,,tea,US,Medium Fresh Jade Green Tea,4.5
ShinyTea,green tea,,,tea,US,Fresh Jade Green Tea (Iced or Hot),4.5
ShinyTea,pu-er tea,,,tea,US,Medium Pu-erh Tea,4.0
ShinyTea,pu-er tea,,,tea,US,Pu-erh Tea (Iced or Hot),4.0
ShinyTea,milk;black tea,white pearl,,milk tea,US,White Pearl Milk Tea,4.5
ShinyTea,milk;black tea,boba,,milk tea,US,Classic Boba Milk Tea,4.5
ShinyTea,milk;black tea,white pearl;pearl,,milk tea,US,Panda Milk Tea,4.5
ShinyTea,milk;black tea,boba;brown sugar,,milk tea,US,Brown Sugar Boba Milk Tea,5.0
