name,base-drink,topping,fruit,type,country,item,price
GongCha,milk;black tea;coffee,,,milk tea,US,Coffee Milk Tea,5.0
GongCha,milk;coffee,,,coffee,US,Milk Coffee,5.0
GongCha,coffee,milk foam,,coffee,US,Milk Foam Black Coffee,5.0
GongCha,milk,,mango,slush,US,Mango Milk Slush,6.0
GongCha,matcha,,,slush,US,Matcha Milk Slush,6.0
GongCha,milk,taro,,slush,US,Taro Milk Slush,6.0
GongCha,,,lychee,slush,US,Lychee Slush,6.0
GongCha,yogurt,,passion fruit,slush,US,Passionfruit Yogurt Slush,6.0
GongCha,cocoa,caramel,,slush,US,Caramel Chocolate Slush,6.0
GongCha,milk,,strawberry,slush,US,Strawberry Milk Slush,6.0
GongCha,milk;black tea,oreo,,milk tea,US,Oreo Milk Tea,5.0
GongCha,black tea,oreo;milk foam,,cheese tea,US,Oreo Milk Foam Tea,5.25
GongCha,cocoa,oreo,,cocoa,US,Oreo Chocolate Drink,5.25
GongCha,green tea,,strawberry,tea,US,Strawberry Green Tea,5.0
GongCha,matcha;milk,,strawberry,matcha,US,Strawberry Matcha Latte,5.75
GongCha,milk,taro,strawberry,milk tea,US,Strawberry Taro,5.75
GongCha,lemonade,,strawberry,lemonade,US,Strawberry Lemonade,5.0
GongCha,milk;black tea,oreo,strawberry,milk tea,US,Oreo Strawberry Milk Tea,5.5
GongCha,yogurt,,strawberry,yogurt,US,Strawberry Yogurt,5.5
GongCha,milk,,strawberry,slush,US,Strawberry Milk Slush,6.0
GongCha,green tea;yogurt,,,yogurt,US,Green Tea Yogurt,5.5
GongCha,yogurt,,mango,yogurt,US,Mango Yogurt,5.5
GongCha,yogurt,,grapefruit,yogurt,US,Grapefruit Yogurt,5.5
GongCha,yogurt,,strawberry,yogurt,US,Strawberry Yogurt,5.5
GongCha,yogurt,,lemon,yogurt,US,Lemon Yogurt,5.5
IMilky,jasmine tea,,,tea,US,Jasmine Green Tea (L),6.0
IMilky,earl grey,,,tea,US,Earl Grey Black Tea (L),6.0
IMilky,black tea,,,tea,US,I Milky Premium Black Tea (L),6.0
IMilky,green tea,,,tea,US,Taiwan Qing Tea (L),6.0
IMilky,barley tea,,,tea,US,Barley Tea (L),6.0
IMilky,green tea,,,tea,US,Tie Quan Yin Oolong Tea (L),6.0
IMilky,green tea,,peach,fruit tea,US,Peach Sunset,8.9
IMilky,lemonade,,strawberry,lemonade,US,Strawberry Lemonade,8.9
IMilky,yogurt;milk,,mango,milk,US,Puffy Mango,8.9
IMilky,matcha,,,slush,US,Matcha Slushie,8.9
IMilky,milk;black tea,,,milk tea,US,Classic Milk Tea,6.6
IMilky,milk;black tea,bubble,,milk tea,US,Classic Bubble Milk Tea,7.5
IMilky,milk;jasmine tea,bubble,,milk tea,US,Jasmine Green Milk Tea,6.6
IMilky,milk;oolong tea,,,milk tea,US,Oolong Milk Tea,6.6
IMilky,milk;black tea,,,milk tea,US,I Milky Premium Black Milk Tea,6.6
IMilky,milk;green tea,,,milk tea,US,Taiwan Qing Milk Tea,6.6
IMilky,milk;barley tea,,,milk tea,US,Barley Milk Tea,6.6
IMilky,milk;black tea,brown sugar;bubble,,milk tea,US,Brown Sugar Bubble Milk,7.14
IMilky,milk,taro,,milk,US,Taro Milk,7.8
IMilky,coconut milk,taro,,milk,US,Coconut Taro Milk,8.1
IMilky,milk,brown sugar,,milk,US,Brown Sugar Milk (M),6.6
IMilky,milk,bubble,,milk,US,Bubble with Milk (M),6.6
IMilky,milk,,strawberry,milk,US,Strawberry Milk (M),8.1
IMilky,milk,,mango,milk,US,Mango Milk (M),8.1
IMilky,milk;matcha,,,milk,US,Matcha Milk (M),6.9
IMilky,milk;cocoa,,,milk,US,Cocoa Milk (M),6.9
IMilky,milk,pudding,,milk,US,Pudding with Milk (M),6.6
IMilky,milk,red beans,,milk,US,Red Beans with Milk (M),6.6
IMilky,milk,herbal jelly,,milk,US,Grass Jelly with Milk (M),6.6
IMilky,yogurt;green tea,,,tea,US,Yogurt Green Tea (L),7.8
IMilky,lemonade;jasmine tea,,,lemonade,US,Jasmine Green Tea Lemonade (L),8.1
IMilky,green tea,,grapefruit,fruit tea,US,Grapefruit Green Tea (L),8.4
IMilky,green tea,,orange,fruit tea,US,Orange Green Tea (L),8.4
IMilky,green tea,,strawberry,fruit tea,US,Strawberry Green Tea (L),8.4
IMilky,green tea,,mango,fruit tea,US,Mango Green Tea (L),8.4
IMilky,lemonade,honey,,lemonade,US,Honey Lemonade,6.6
IMilky,green tea,honey,,tea,US,Honey Green Tea,6.6
IMilky,green tea;lemonade,honey,,lemonade,US,Honey Green Tea Lemonade,7.2
IMilky,black tea;oat milk,,,milk tea,US,I Milky Black Tea and Soy/Oat Milk,7.62
IMilky,black tea;soy milk,,,milk tea,US,I Milky Black Tea and Soy/Oat Milk,7.62
IMilky,jasmine tea;soy milk,,,milk tea,US,Jasmine Green Tea and Soy/Oat Milk,7.2
IMilky,jasmine tea;oat milk,,,milk tea,US,Jasmine Green Tea and Soy/Oat Milk,7.2
IMilky,oolong tea;soy milk,,,milk tea,US,Oolong Tea and Soy/Oat Milk,7.2
IMilky,oolong tea;oat milk,,,milk tea,US,Oolong Tea and Soy/Oat Milk,7.2
IMilky,earl grey;oat milk,,,milk tea,US,Earl Grey Black Tea and Soy/Oat Milk,7.2
IMilky,earl grey;soy milk,,,milk tea,US,Earl Grey Black Tea and Soy/Oat Milk,7.2
IMilky,green tea;oat milk,,,milk tea,US,Taiwan Qing Tea and Soy/Oat Milk,7.2
IMilky,green tea;soy milk,,,milk tea,US,Taiwan Qing Tea and Soy/Oat Milk,7.2
IMilky,barley tea;soy milk,,,milk tea,US,Barley Tea and Soy/Oat Milk,7.2
IMilky,barley tea;oat milk,,,milk tea,US,Barley Tea and Soy/Oat Milk,7.2
IMilky,matcha;oat milk,,,milk tea,US,Matcha Soy/Oat Milk,7.9
IMilky,matcha;soy milk,,,milk tea,US,Matcha Soy/Oat Milk,7.9
IMilky,oat milk,pudding,,milk,US,Pudding Soy/Oat Milk,7.62
IMilky,soy milk,pudding,,milk,US,Pudding Soy/Oat Milk,7.62
IMilky,coffee;milk,bubble;brown sugar,,milk,US,Brown Sugar Bubble Coffee Milk (M),7.74
IMilky,milk;coffee,brown sugar,,coffee,US,Brown Sugar Coffee Latte (M),7.14
IMilky,milk;coffee,caramel,,coffee,US,Caramel Macchiato (M),7.14
IMilky,milk;coffee,,,coffee,US,Coffee Latte (M),6.6
IMilky,coffee,,,coffee,US,Americano (M),5.4
